name
Ada
Adelina
Adriana
Agata
Agnieszka
Aida
Aina
Aisha
Alba
Aleksandra
Alexandra
Alicia
Alicja
Alida
Alina
Alisa
Alma
Alva
Amalia
Amanda
Amelia
Amina
Amira
Amna
Ana
Anastasia
Andrea
Aneta
Angela
Angelica
Angelika
Angelina
Anisa
Anita
Anja
Annika
Antonia
Antonina
Aria
Ariana
Arina
Arna
Arya
Asha
Asma
Asta
Aurora
Ausra
Ava
Aya
Ayla
Azra
Barbara
Beata
Belinda
Bella
Betina
Bettina
Bianca
Birgitta
Bozena
Brita
Bushra
Camilla
Carina
Carla
Carolina
Cassandra
Catharina
Cecilia
Celia
Celina
Christina
Clara
Claudia
Cornelia
Cristina
Daiva
Dalia
Dana
Daniela
Daniella
Danuta
Daria
Diana
Dina
Dominika
Dorota
Dorthea
Ea
Ebba
Edda
Edita
Edna
Edyta
Eira
Ekaterina
Elea
Elena
Eliana
Elida
Elina
Elisa
Eliza
Ella
Elma
Elna
Elsa
Elvira
Elzbieta
Ema
Embla
Emilia
Emilija
Emina
Emma
Enya
Erica
Erika
Erna
Eva
Evelina
Ewa
Ewelina
Fatima
Fatma
Felicia
Filippa
Fiona
Freya
Frida
Frøya
Gabriela
Gabriella
Galina
Gerda
Gina
Gloria
Greta
Gyda
Hafsa
Hala
Halima
Hana
Hanna
Hedda
Helena
Helga
Hiba
Hilda
Huda
Hulda
Ieva
Ilona
Ina
Inga
Ingrida
Iqra
Irena
Irina
Irma
Iryna
Isa
Isabella
Ivana
Iwona
Izabela
Jamila
Jana
Janita
Jasmina
Jelena
Jessica
Joanna
Johanna
Jolanta
Julia
Juliana
Jurgita
Justyna
Kaia
Kaisa
Kaja
Kajsa
Kamila
Kamilla
Karina
Karla
Karolina
Katarina
Katarzyna
Katharina
Kathinka
Katinka
Katja
Katrina
Kaya
Khadija
Kinga
Kira
Klara
Klaudia
Kornelia
Kristina
Krystyna
Laila
Lana
Lara
Larisa
Laura
Lea
Leila
Lena
Leona
Leonora
Leyla
Liana
Lidia
Liliana
Lilja
Lina
Linda
Linea
Linnea
Lisa
Liva
Livia
Liza
Lotta
Louisa
Lucia
Luna
Lydia
Ma
Magda
Magdalena
Maia
Maja
Malena
Malgorzata
Malika
Margarita
Maria
Mariana
Marija
Marina
Marita
Marta
Martha
Martina
Martyna
Marwa
Marzena
Mathea
Mathilda
Matilda
Maya
Medina
Melina
Melinda
Melisa
Melissa
Mia
Michaela
Mikaela
Mila
Milana
Milena
Milla
Mina
Mira
Miranda
Mona
Monica
Monika
Muna
Nada
Nadia
Nadja
Naima
Najma
Nanna
Natalia
Natasha
Nelia
Nikola
Nina
Nora
Nova
Oda
Oksana
Olava
Olea
Olena
Olga
Olivia
Oliwia
Patricia
Patrycja
Paula
Paulina
Petra
Pia
Rabia
Ragna
Rahma
Ramona
Rana
Rania
Rasa
Rebecca
Rebecka
Rebekka
Regina
Renata
Rina
Rita
Ronja
Rosa
Runa
Ruta
Saba
Sabina
Sabrina
Sadia
Safa
Safia
Saga
Sahra
Saima
Salma
Samantha
Samira
Sana
Sandra
Sanja
Sanna
Sara
Selina
Selma
Serina
Sheila
Sidra
Sienna
Silja
Silvia
Simona
Sina
Sofia
Sofija
Sonia
Sonja
Sophia
Stella
Stina
Sumaya
Sunniva
Susanna
Svetlana
Syeda
Sylvia
Sylwia
Tamara
Tanja
Tanya
Tara
Tatiana
Tatjana
Tea
Teresa
Thea
Thelma
Theresa
Thora
Tia
Tilla
Tina
Tora
Tuva
Tyra
Ulla
Una
Urszula
Vaida
Valentina
Valeria
Vanessa
Vanja
Vera
Veronica
Veronika
Victoria
Vida
Viktoria
Viktorija
Vilja
Vilma
Viola
Violeta
Wanja
Weronika
Wiktoria
Wilma
Ylva
Zahra
Zara
Zofia
Zuzanna
Åsa
Åsta
NA
